term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
epos rycersko-fantastyczny,,epos rycerski - fantastyczny,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
epos staroangielski,,epos staroangielski,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
epos średniowieczny,,epos średniowieczny,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
epos zwierzęcy,,epos zwierzęcy,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
epylion,epyllion,Epylion,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
epyllion,,epyllion,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810649666505606,http://www.wikidata.org/entity/Q446523
erato,,erato,,Słownik Terminów Literackich (Głowiński),,
ermetismo,,ermetismo,,Słownik Terminów Literackich (Głowiński),,
erotema,,erotema,,Słownik Terminów Literackich (Głowiński),,
erotesis,,erotesis,,Słownik Terminów Literackich (Głowiński),,
erotic epyllion,,erotic epyllion,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
erotikon,,erotikon,,Słownik Terminów Literackich (Głowiński),,
erotyk,,erotyk,,"Słownik literatury polskiej | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
erotyka w tekstach kultury,,erotyka w tekst kultura,,Słownik pojęć i tekstów kultury,,
errata,,errata,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
erystyka,,erystyka,,"Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
erziehungsroman,,erziehungsroman,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
es,,es,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
eschatologia,,eschatologia,,"Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik pojęć i tekstów kultury",,
esej,essay,esej,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Leksykon szkolny. Gatunki paraliterackie, publicystyczne i użytkowe | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od aforyzmu do zinu. Gatunki twórczości słownej | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik nowych gatunków i zjawisk literackich | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810655148205606,http://www.wikidata.org/entity/Q35760
esencjalizm,,esencjalizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
esperanto,,esperanto,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
esperpento,,esperpento,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
espinela,,espinela,,Słownik Terminów Literackich (Głowiński),,
esprit d,,Esprit d,,Słownik terminów literackich (Sierotwiński),,
essay,,essay,,Słownik terminów literackich (Sierotwiński),,
estetyczna wypowiedzi,,estetyczny wypowiedź,,Słownik Terminów Literackich (Głowiński),,
estetyka,,estetyk,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
estetyka normatywna,,estetyka normatywny,,Słownik pojęć i tekstów kultury,,
estetyka opisowa,,estetyka opisowy,,Słownik pojęć i tekstów kultury,,
estetyka recepcji,,estetyk recepcja,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik Terminów Literackich (Głowiński)",,
estetyka strukturalna,,estetyka strukturalny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
estetyka średniowieczna,,estetyka średniowieczny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
estetyka teatru,,estetyka teatr,,Słownik terminów teatralnych (Patrice Pavis),,
estetyzm,,estetyzm,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810681604405606,http://www.wikidata.org/entity/Q256922
estopsychologia,,estopsychologia,,Słownik Terminów Literackich (Głowiński),,
estrabot,,estrabot,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
estravaganza,,estravaganza,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
estribillo,,estribillo,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
etapy pracy nad filmem,,etap praca nad film,,Słownik pojęć i tekstów kultury,,
etapy pracy nad przedstawieniem,błąd w lemacie,etap praca nad przedstawieć,,Słownik pojęć i tekstów kultury,,
etiuda,,etiuda,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
etnodrama,,Etnodrama,,Słownik terminów teatralnych (Patrice Pavis),,
etnografia,,etnografia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
etnografia mówienia,,etnografia mówienie,,Słownik Terminów Literackich (Głowiński),,
etnolingwistyka,,etnolingwistyka,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
etnologia,,etnologia,,Słownik Terminów Literackich (Głowiński) | Słownik pojęć i tekstów kultury,,
etnoscenologia,,etnoscenologi,,Słownik terminów teatralnych (Patrice Pavis),,
etopeja,,etopej,,Słownik terminów literackich (Sierotwiński),,
etos,,etos,,"Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik pojęć i tekstów kultury",,
etyka,,etyka,,"Słownik literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
etymologia,,etymologia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
etymologia i definicje teorii,,etymologia i definicja teoria,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
etymologia ludowa,,etymologia ludowy,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
etymon,,etymon,,Słownik terminów literackich (Sierotwiński),,
eucharistikon,,eucharistikon,,Słownik Terminów Literackich (Głowiński),,
euche,,euche,,Słownik Terminów Literackich (Głowiński),,
eufemizm,,eufemizm,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
eufonia,,eufonia,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
eufonia ilościowa,,eufonia ilościowy,,Słownik terminów literackich (Sierotwiński),,
eufonia jakościowa,,eufonie jakościowy,,Słownik terminów literackich (Sierotwiński),,
eufonologia,,eufonologia,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
eufuizm,,eufuizm,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
euktika,,euktika,,Słownik Terminów Literackich (Głowiński),,
eupolideion,,eupolideion,,Słownik Terminów Literackich (Głowiński),,
eurytmia,,eurytmia,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
euterpe,,euterpe,,Słownik Terminów Literackich (Głowiński),,
evidentia,,evidentia,,Słownik Terminów Literackich (Głowiński),,
ewangelia,,ewangelia,,"Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
ewangeliarz,,ewangeliarz,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ewokacja,,ewokacja,,Słownik terminów literackich (Sierotwiński),,
ewolucjonizm,,ewolucjonizm,,"Słownik literatury polskiej | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
exclamatio,,exclamatio,,Słownik terminów literackich (Sierotwiński),,
excursus,,excursus,,Słownik terminów literackich (Sierotwiński),,
exemplum,,exemplum,,"Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810614449105606,http://www.wikidata.org/entity/Q1993117
exhortatio,,exhortatio,,Słownik Terminów Literackich (Głowiński),,
exlibris,,exlibris,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
exodium,,exodium,,Słownik Terminów Literackich (Głowiński),,
exodos,,exodos,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,,
exordium,,exordium,,Słownik Terminów Literackich (Głowiński),,
explication de texte,,explication de texte,,Słownik Terminów Literackich (Głowiński),,
explicit,,explicit,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
expolitio,,expolitio,,Słownik Terminów Literackich (Głowiński),,
exsecratio,,exsecratio,,Słownik Terminów Literackich (Głowiński),,
exspectatio,,exspectatio,,Słownik terminów literackich (Sierotwiński),,
extenuatio,,extenuatio,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
ezopowy język,,ezopowy język,,Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918,,
fabliau,,fabliau,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
fabliaux,,fabliaux,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810816442505606,http://www.wikidata.org/entity/Q905171
fabulacja,,fabulacja,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
fabulistyka,,fabulistyk,,Słownik terminów literackich (Sierotwiński),,
fabuła,,fabuła,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Słownik wiedzy o teatrze | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Mały słownik terminów teorii tekstu | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810614987405606,http://www.wikidata.org/entity/Q217086
fabuła atellana,,fabuła atellana,,Słownik Terminów Literackich (Głowiński),,
fabuła crepidata,,fabuła crepidata,,Słownik Terminów Literackich (Głowiński),,
fabuła jednowątkowa,,fabuła jednowątkowy,,Słownik pojęć i tekstów kultury,,
fabuła palliata,,fabuła palliata,,Słownik Terminów Literackich (Głowiński),,
fabuła praetexta,,fabuła praetexta,,Słownik Terminów Literackich (Głowiński),,
fabuła saltica,,fabuła saltica,,Słownik Terminów Literackich (Głowiński),,
fabuła tabernaria,,fabuła tabernaria,,Słownik Terminów Literackich (Głowiński),,
fabuła toga ta,,fabuła toga ta,,Słownik Terminów Literackich (Głowiński),,
fabuła trabeata,,fabuła trabeata,,Słownik Terminów Literackich (Głowiński),,
fabuła wielowątkowa,,fabuła wielowątkowy,,Słownik pojęć i tekstów kultury,,
facecja,,facecja,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
facsimile,,facsimile,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
fado,,fado,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
fait divers,faits divers,fait divers,,"Leksykon szkolny. Gatunki paraliterackie, publicystyczne i użytkowe | Słownik rodzajów i gatunków literackich (Grzegorz Gazda)",,
faits divers,,faits divers,,Słownik Terminów Literackich (Głowiński),,
fakt literacki,,fakt literacki,,Słownik Terminów Literackich (Głowiński),,
faktomontaż,,faktomontaż,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
falecejski wiersz,,falecejski wiersz,,Słownik Terminów Literackich (Głowiński),,
fallogocentryzm,,fallogocentryzm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
falsyfikacja interpretacji,,falsyfikacja interpretacja,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
falsyfikat,,falsyfikat,,"Słownik literatury polskiej | Słownik terminów literackich (Sierotwiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
